TOWN|MIN|MAX
ORANGE, MA|90|140
ORLEANS, MA|85|130
OSTERVILLE, MA|70|110
OTIS, MA|130|180
OXFORD, MA|65|90
PALMER, MA|80|110
PAXTON, MA|70|110
PEABODY, MA|55|100
PEMBROKE, MA|26|35
PEPPERELL, MA|70|110
PETERSHAM, MA|90|140
PITTSFIELD, MA|140|190
PLAINFIELD, MA|140|190
PLAINVILLE, MA|35|55
PLYMOUTH, MA|30|45
PLYMPTON, MA|35|45
POCASSET, MA|55|75
PRINCETON, MA|75|110
PROVINCETOWN, MA|120|160
QUINCY, MA|14|26
RANDOLPH, MA|6|8
RAYNHAM, MA|26|35
READING, MA|45|80
REHOBOTH, MA|45|65
REVERE, MA|40|80
RICHMOND, MA|130|180
ROCHDALE, MA|65|100
ROCHESTER, MA|45|55
ROCKLAND, MA|12|16
ROCKPORT, MA|75|130
ROSLINDALE, MA|28|55
ROWE, MA|150|200
ROWLEY, MA|70|110
ROYALSTON, MA|90|140
RUSSELL, MA|110|160
RUTLAND, MA|80|120
SAGAMORE, MA|40|55
SAGAMORE BEACH, MA|45|55
SALEM, MA|60|110
SALISBURY, MA|75|110
SANDISFIELD, MA|140|190
SANDWICH, MA|50|70
SAUGUS, MA|45|85
SAVOY, MA|150|190
SCITUATE, MA|30|40
SEEKONK, MA|50|75
SHARON, MA|22|40
SHEFFIELD, MA|150|200
SHELBURNE FALLS, MA|130|180
SHERBORN, MA|40|55
SHIRLEY, MA|65|100
SHREWSBURY, MA|55|90
SHUTESBURY, MA|100|150
SIASCONSET, MA|220|260
SOMERSET, MA|45|55
SOMERVILLE, MA|40|90
SOUTH BARRE, MA|90|130
SOUTH CARVER, MA|40|50
SOUTH CHATHAM, MA|85|120
SOUTH DARTMOUTH, MA|50|65
SOUTH DEERFIELD, MA|110|160
SOUTH DENNIS, MA|75|110
SOUTH EASTON, MA|18|26
SOUTH EGREMONT, MA|140|190
SOUTH GRAFTON, MA|55|80
SOUTH HADLEY, MA|100|140
SOUTH HAMILTON, MA|65|110
SOUTH LANCASTER, MA|65|100
SOUTH LEE, MA|120|170
SOUTH WALPOLE, MA|26|40
SOUTH WELLFLEET, MA|100|140
SOUTH YARMOUTH, MA|75|110
SOUTHAMPTON, MA|100|150
SOUTHBOROUGH, MA|45|70
SOUTHBRIDGE, MA|75|110
SOUTHFIELD, MA|12|16
SOUTHWICK, MA|110|150
SPENCER, MA|75|110
SPRINGFIELD, MA|90|130
STERLING, MA|65|110
STILL RIVER, MA|60|100
STOCKBRIDGE, MA|130|170
